Date,Category,Sub-category,Amount,Account,Balance
2023-01-01,Food & Drinks,Drinks,-200,credit,-200
2023-01-01,Food & Drinks,Take-out,-40.45,credit,-240.45
2023-01-02,Housing,Rent,-650,chequing,9350
2023-01-02,Food & Drinks,Coffee,-5.74,chequing,9344.26
2023-01-02,Utilities,Phone,-58.04,chequing,9286.22
2023-01-03,Personal,Haircut,-30,chequing,9256.22
2023-01-05,Entertainment,Games,-51.74,credit,-292.19
2023-01-06,Income,Salary,1300,chequing,10556.22
2023-01-07,Food & Drinks,Groceries,-80.46,chequing,10475.76
2023-01-10,Food & Drinks,Restaurant,-50.28,credit,-342.47
2023-01-12,Transportation,Gas,-35,credit,-377.47
2023-01-14,Food & Drinks,Restaurant,-90.68,credit,-468.15
2023-01-14,Food & Drinks,Coffee,-5.74,chequing,10470.02
2023-01-16,Entertainment,Games,-103.49,credit,-571.64
2023-01-20,Income,Salary,1300,chequing,11770.02
2023-01-20,Transportation,Insurance,-123.1,chequing,11646.92
2023-01-21,Food & Drinks,Groceries,-60.87,chequing,11586.05
2023-01-21,Entertainment,Subscription,-7.99,chequing,11578.06
2023-01-21,Food & Drinks,Coffee,-5.74,chequing,11572.32
2023-01-28,Food & Drinks,Restaurant,-74.3,credit,-645.94
2023-01-28,Food & Drinks,Coffee,-6.95,chequing,11565.37
2023-01-30,Debt,Credit Card,-362.32,chequing,11203.05
2023-01-30,Debt,Credit Card,362.32,credit,-283.62
2023-01-31,Debt,Interest,-4.81,credit,-288.43
2023-02-01,Housing,Rent,-650,chequing,10553.05
2023-02-01,Utilities,Phone,-58.04,chequing,10495.01
2023-02-03,Income,Salary,1300,chequing,11795.01
2023-02-04,Food & Drinks,Restaurant,-55.39,credit,-343.82
2023-02-04,Food & Drinks,Groceries,-24.12,chequing,11770.89
2023-02-07,Personal,Haircut,-30,chequing,11740.89
2023-02-11,Transportation,Gas,-70,credit,-413.82
2023-02-11,Food & Drinks,Take-out,-50,credit,-463.82
2023-02-12,Food & Drinks,Restaurant,-85.3,credit,-549.12
2023-02-12,Entertainment,Museum,-152.5,credit,-701.62
2023-02-13,Transportation,Public Transport,-40,chequing,11700.89
2023-02-13,Entertainment,Vacation,-22.6,chequing,11678.29
2023-02-14,Food & Drinks,Restaurant,-156.93,credit,-858.55
2023-02-14,Food & Drinks,Drinks,-40.99,credit,-899.54
2023-02-15,Food & Drinks,Restaurant,-72.3,credit,-971.84
2023-02-15,Lifestyle,Hotel,-1095,credit,-2066.84
2023-02-15,Transportation,Gas,-70,credit,-2136.84
2023-02-17,Income,Salary,1300,chequing,12978.29
2023-02-17,Debt,Credit Card,-1500,chequing,11478.29
2023-02-17,Debt,Credit Card,1500,credit,-636.84
2023-02-18,Food & Drinks,Groceries,-90.77,chequing,11387.52
2023-02-19,Entertainment,Games,-67.26,credit,-704.1
2023-02-20,Transportation,Insurance,-123.1,chequing,11264.42
2023-02-21,Entertainment,Subscription,-7.99,chequing,11256.43
2023-02-24,Entertainment,Games,-77.04,credit,-781.14
2023-02-25,Food & Drinks,Restaurant,-42.33,credit,-823.47
2023-02-28,Debt,Interest,-31.21,credit,-854.68
2023-03-01,Housing,Rent,-650,chequing,10606.43
2023-03-01,Utilities,Phone,-58.04,chequing,10548.39
2023-03-03,Income,Salary,1300,chequing,11848.39
2023-03-04,Food & Drinks,Groceries,-64.55,chequing,11783.84
2023-03-04,Food & Drinks,Coffee,-5.74,chequing,11778.1
2023-03-07,Personal,Haircut,-30,chequing,11748.1
2023-03-11,Food & Drinks,Drinks,-52.75,credit,-907.43
2023-03-17,Income,Salary,1300,chequing,13048.1
2023-03-17,Debt,Credit Card,-650,chequing,12398.1
2023-03-17,Debt,Credit Card,650,credit,-257.43
2023-03-18,Food & Drinks,Groceries,-48.95,chequing,12999.15
2023-03-19,Food & Drinks,Coffee,-5.74,chequing,12993.41
2023-03-20,Transportation,Insurance,-123.1,chequing,12870.31
2023-03-21,Entertainment,Subscription,-7.99,chequing,12862.32
2023-03-25,Food & Drinks,Restaurant,-85.66,credit,-343.09
2023-03-31,Income,Salary,1300,chequing,14162.32
2023-03-31,Debt,Interest,-2.35,credit,14164.67
