Date,Category,Sub-category,Amount
2023-01-30,Debt,Payment,-362.32
2023-01-30,Debt,Payment,362.32
2023-01-31,Debt,Interest,-4.81
2023-02-17,Debt,Payment,-349.21
2023-02-17,Debt,Payment,349.21
2023-02-28,Debt,Interest,-5.05
2023-03-17,Debt,Payment,-280.0
2023-03-17,Debt,Payment,280.0
2023-03-31,Debt,Interest,-2.35
2023-04-24,Debt,Payment,-122.29
2023-04-24,Debt,Payment,122.29
2023-04-30,Debt,Interest,-3.78
2023-05-01,Debt,Payment,-600.0
2023-05-01,Debt,Payment,600.0
2023-05-23,Debt,Payment,-43.89
2023-05-23,Debt,Payment,43.89
2023-05-31,Debt,Interest,-3.99
2023-06-01,Debt,Payment,-594.0
2023-06-01,Debt,Payment,594.0
2023-06-11,Debt,Payment,-300.0
2023-06-11,Debt,Payment,300.0
2023-06-30,Debt,Interest,-3.2
2023-07-03,Debt,Payment,-588.06
2023-07-03,Debt,Payment,588.06
2023-07-10,Debt,Payment,-193.85
2023-07-10,Debt,Payment,193.85
2023-07-31,Debt,Interest,-3.97
2023-08-01,Debt,Payment,-582.18
2023-08-01,Debt,Payment,582.18
2023-08-26,Debt,Payment,-259.04
2023-08-26,Debt,Payment,259.04
2023-08-31,Debt,Interest,-3.02
2023-09-01,Debt,Payment,-576.36
2023-09-01,Debt,Payment,576.36
2023-09-03,Debt,Payment,-356.64
2023-09-03,Debt,Payment,356.64
2023-09-30,Debt,Interest,-4.58
2023-10-02,Debt,Payment,-1570.59
2023-10-02,Debt,Payment,1570.59
2023-10-27,Debt,Payment,-287.0
2023-10-27,Debt,Payment,287.0
2023-10-31,Debt,Interest,-7.05
2023-11-01,Debt,Payment,-555.88
2023-11-01,Debt,Payment,555.88
2023-11-26,Debt,Payment,-287.0
2023-11-26,Debt,Payment,287.0
2023-11-30,Debt,Interest,0.0
2023-12-01,Debt,Payment,-549.32
2023-12-01,Debt,Payment,549.32
2023-12-29,Debt,Payment,-100.0
2023-12-29,Debt,Payment,100.0
2023-12-31,Debt,Interest,-1.23
