,Date,Head Category,Category,Amount,Account,Account Balance
2,2023-02-01,Food & Drinks,Dine-out,-30.38,2,-517.42
3,2023-02-01,Food & Drinks,Coffee,-4.9,2,-522.32
4,2023-02-01,Food & Drinks,Coffee,-4.9,2,-527.22
5,2023-02-01,Food & Drinks,Coffee,-4.93,2,-532.15
6,2023-02-02,Food & Drinks,Coffee,-9.88,2,-542.03
7,2023-02-02,Food & Drinks,Coffee,-4.93,2,-546.96
8,2023-02-02,Food & Drinks,Coffee,-4.9,2,-551.86
9,2023-02-02,Food & Drinks,Groceries,-20.48,2,-572.34
10,2023-02-02,Lifestyle,Pharmacy,-4.46,2,-576.8
12,2023-02-03,Food & Drinks,Restaurant,-6.77,2,-583.57
13,2023-02-03,Food & Drinks,Coffee,-7.67,2,-591.24
14,2023-02-04,Food & Drinks,Candy,-1.48,2,-592.72
15,2023-02-04,Food & Drinks,Candy,-3.39,2,-596.11
16,2023-02-04,Food & Drinks,Candy,-1.89,2,-598
17,2023-02-04,Food & Drinks,Dine-out,-23.2,2,-621.2
18,2023-02-04,Food & Drinks,Drinks,-26.81,2,-648.01
19,2023-02-04,Food & Drinks,Groceries,-38.73,2,-686.74
20,2023-02-05,Food & Drinks,Restaurant,-6.9,2,-693.64
21,2023-02-05,Food & Drinks,Candy,-1.71,2,-695.35
22,2023-02-05,Food & Drinks,Candy,-6.53,2,-701.88
23,2023-02-06,Food & Drinks,Drinks,-17.97,2,-719.85
24,2023-02-06,Food & Drinks,Coffee,-2.4,2,-722.25
25,2023-02-06,Food & Drinks,Coffee,-4.93,2,-727.18
26,2023-02-06,Food & Drinks,Coffee,-2.5,2,-729.68
27,2023-02-07,Food & Drinks,Dine-out,-23.52,2,-753.2
28,2023-02-08,Lifestyle,Pharmacy,-6.08,2,-759.28
29,2023-02-08,Food & Drinks,Dine-out,-25.06,2,-784.34
30,2023-02-08,Food & Drinks,Dine-out,-34.93,2,-819.27
31,2023-02-08,Food & Drinks,Drinks,-57.41,2,-876.68
32,2023-02-08,Food & Drinks,Coffee,-2.4,2,-879.08
33,2023-02-08,Food & Drinks,Coffee,-9.38,2,-888.46
