Date,Category,Sub-category,Amount
2023-01-06,Income,Salary,509.08
2023-01-20,Income,Salary,708.96
2023-02-03,Income,Salary,640.82
2023-02-17,Income,Salary,334.84
2023-03-03,Income,Salary,340.94
2023-03-17,Income,Salary,262.44
2023-03-31,Income,Salary,290.34
2023-04-14,Income,Salary,505.7
2023-04-28,Income,Salary,934.54
2023-05-12,Income,Salary,817.84
2023-05-26,Income,Salary,1201.64
2023-06-09,Income,Salary,1115.04
2023-06-23,Income,Salary,1527.98
2023-07-07,Income,Salary,2769.23
2023-07-21,Income,Salary,2769.23
2023-08-04,Income,Salary,2769.23
2023-08-18,Income,Salary,2769.23
2023-09-01,Income,Salary,2769.23
2023-09-15,Income,Salary,2769.23
2023-09-29,Income,Salary,2769.23
2023-10-13,Income,Salary,2769.23
2023-10-27,Income,Salary,2769.23
2023-11-10,Income,Salary,2769.23
2023-11-24,Income,Salary,2769.23
2023-12-08,Income,Salary,2769.23
2023-12-22,Income,Salary,3769.23
