Date,Category,Sub-category,Amount
2023-01-03,Personal Care,Haircut,-30.0
2023-02-07,Personal Care,Haircut,-30.0
2023-03-07,Personal Care,Haircut,-30.0
2023-04-03,Personal Care,Haircut,-30.0
2023-05-09,Personal Care,Haircut,-30.0
2023-06-08,Personal Care,Haircut,-37.0
2023-07-13,Personal Care,Haircut,-37.0
2023-08-10,Personal Care,Haircut,-37.0
2023-09-07,Personal Care,Haircut,-37.0
2023-10-10,Personal Care,Haircut,-37.0
2023-11-14,Personal Care,Haircut,-37.0
2023-12-12,Personal Care,Haircut,-37.0
