Date,Category,Sub-category,Amount
2023-01-02,Utilities,Phone,-58.04
2023-02-01,Utilities,Phone,-58.04
2023-03-01,Utilities,Phone,-58.04
2023-04-03,Utilities,Phone,-58.04
2023-05-01,Utilities,Phone,-58.04
2023-06-01,Utilities,Phone,-58.04
2023-06-01,Utilities,Internet,-35.0
2023-07-03,Utilities,Phone,-58.04
2023-07-03,Utilities,Internet,-35.0
2023-07-03,Utilities,Electricity,-220.39
2023-08-01,Utilities,Phone,-58.04
2023-08-01,Utilities,Internet,-35.0
2023-08-01,Utilities,Electricity,-320.2
2023-09-01,Utilities,Internet,-35.0
2023-09-01,Utilities,Electricity,-305.54
2023-09-01,Utilities,Phone,-58.04
2023-10-02,Utilities,Internet,-35.0
2023-10-02,Utilities,Electricity,-196.58
2023-10-02,Utilities,Phone,-58.04
2023-11-01,Utilities,Internet,-35.0
2023-11-01,Utilities,Electricity,-114.49
2023-11-01,Utilities,Phone,-58.04
2023-12-01,Utilities,Internet,-35.0
2023-12-01,Utilities,Electricity,-110.51
2023-12-01,Utilities,Phone,-58.04
