Date,Category,Sub-category,Amount
2023-01-02,Housing,Rent,-650.0
2023-02-01,Housing,Rent,-650.0
2023-03-01,Housing,Rent,-650.0
2023-04-03,Housing,Rent,-650.0
2023-04-06,Housing,Security Deposit,-393.75
2023-07-03,Housing,Rent,-787.5
2023-07-03,Housing,Parking,-175.0
2023-08-01,Housing,Rent,-787.5
2023-08-01,Housing,Parking,-175.0
2023-09-01,Housing,Rent,-787.5
2023-09-01,Housing,Parking,-175.0
2023-10-02,Housing,Rent,-787.5
2023-10-02,Housing,Parking,-175.0
2023-11-01,Housing,Rent,-787.5
2023-11-01,Housing,Parking,-175.0
2023-12-01,Housing,Rent,-787.5
2023-12-01,Housing,Parking,-175.0
