Date,Category,Sub-category,Amount
2023-07-10,Savings,Emergency Fund,-360.0
2023-07-10,Savings,Emergency Fund,360.0
2023-07-21,Savings,Emergency Fund,-553.85
2023-07-21,Savings,Emergency Fund,553.85
2023-08-04,Savings,Emergency Fund,-553.85
2023-08-04,Savings,Emergency Fund,553.85
2023-08-18,Savings,Emergency Fund,-300.0
2023-08-18,Savings,Emergency Fund,300.0
2023-09-02,Savings,Emergency Fund,-360.0
2023-09-02,Savings,Emergency Fund,360.0
2023-09-19,Savings,Emergency Fund,-401.05
2023-09-19,Savings,Emergency Fund,401.05
2023-10-01,Savings,Emergency Fund,-1000.0
2023-10-01,Savings,Emergency Fund,1000.0
2023-10-16,Savings,Emergency Fund,-360.0
2023-10-16,Savings,Emergency Fund,360.0
2023-10-27,Savings,Emergency Fund,-276.0
2023-10-27,Savings,Emergency Fund,276.0
2023-11-04,Savings,Long Term,-1000.0
2023-11-04,Savings,Long Term,1000.0
2023-12-07,Savings,Emergency Fund,-360.0
2023-12-07,Savings,Emergency Fund,360.0
2023-12-07,Savings,Long Term,-150.0
2023-12-07,Savings,Long Term,150.0
