Date,Category,Sub-category,Amount
2023-01-01,Food & Drinks,Drinks,-200.0
2023-01-01,Food & Drinks,Take-out,-40.45
2023-01-02,Food & Drinks,Coffee,-5.74
2023-01-07,Food & Drinks,Groceries,-80.46
2023-01-10,Food & Drinks,Restaurant,-50.28
2023-01-14,Food & Drinks,Restaurant,-90.68
2023-01-14,Food & Drinks,Coffee,-5.74
2023-01-21,Food & Drinks,Groceries,-60.87
2023-01-21,Food & Drinks,Coffee,-5.74
2023-01-28,Food & Drinks,Restaurant,-74.3
2023-01-28,Food & Drinks,Coffee,-6.95
2023-02-04,Food & Drinks,Restaurant,-55.39
2023-02-04,Food & Drinks,Groceries,-24.12
2023-02-14,Food & Drinks,Restaurant,-55.39
2023-02-18,Food & Drinks,Groceries,-90.77
2023-02-25,Food & Drinks,Restaurant,-42.33
2023-03-04,Food & Drinks,Groceries,-64.55
2023-03-04,Food & Drinks,Coffee,-5.74
2023-03-11,Food & Drinks,Drinks,-52.75
2023-03-18,Food & Drinks,Groceries,-48.95
2023-03-19,Food & Drinks,Coffee,-5.74
2023-03-20,Food & Drinks,Coffee,-5.74
2023-03-21,Food & Drinks,Coffee,-5.74
2023-03-22,Food & Drinks,Coffee,-5.74
2023-03-23,Food & Drinks,Coffee,-5.74
2023-03-24,Food & Drinks,Coffee,-5.74
2023-03-25,Food & Drinks,Restaurant,-85.66
2023-03-27,Food & Drinks,Coffee,-5.74
2023-03-28,Food & Drinks,Coffee,-5.74
2023-03-29,Food & Drinks,Coffee,-5.74
2023-03-30,Food & Drinks,Coffee,-5.74
2023-03-31,Food & Drinks,Coffee,-5.74
2023-04-01,Food & Drinks,Groceries,-60.56
2023-04-02,Food & Drinks,Coffee,-5.74
2023-04-04,Food & Drinks,Coffee,-5.74
2023-04-05,Food & Drinks,Coffee,-5.74
2023-04-06,Food & Drinks,Candy,-25.99
2023-04-06,Food & Drinks,Coffee,-5.74
2023-04-08,Food & Drinks,Coffee,-5.74
2023-04-11,Food & Drinks,Coffee,-5.74
2023-04-11,Food & Drinks,Candy,-8.69
2023-04-15,Food & Drinks,Groceries,-80.77
2023-04-16,Food & Drinks,Coffee,-5.74
2023-04-17,Food & Drinks,Coffee,-5.74
2023-04-18,Food & Drinks,Coffee,-5.74
2023-04-29,Food & Drinks,Groceries,-75.21
2023-04-29,Food & Drinks,Coffee,-5.74
2023-05-13,Food & Drinks,Groceries,-85.17
2023-05-20,Food & Drinks,Coffee,-5.74
2023-05-27,Food & Drinks,Groceries,-60.43
2023-06-04,Food & Drinks,Restaurant,-54.56
2023-06-10,Food & Drinks,Groceries,-65.0
2023-06-24,Food & Drinks,Groceries,-90.0
2023-06-29,Food & Drinks,Drinks,-38.99
2023-07-02,Food & Drinks,Take-out,-45.0
2023-07-05,Food & Drinks,Restaurant,-34.56
2023-07-08,Food & Drinks,Groceries,-100.0
2023-07-08,Food & Drinks,Drinks,-45.0
2023-07-10,Food & Drinks,Restaurant,-34.56
2023-07-19,Food & Drinks,Restaurant,-23.0
2023-07-22,Food & Drinks,Groceries,-72.0
2023-07-22,Food & Drinks,Coffee,-5.74
2023-07-29,Food & Drinks,Restaurant,-52.0
2023-08-05,Food & Drinks,Groceries,-76.9
2023-08-05,Food & Drinks,Drinks,-28.0
2023-08-07,Food & Drinks,Restaurant,-34.56
2023-08-16,Food & Drinks,Restaurant,-34.56
2023-08-19,Food & Drinks,Groceries,-97.59
2023-09-02,Food & Drinks,Groceries,-87.21
2023-09-07,Food & Drinks,Restaurant,-23.0
2023-09-16,Food & Drinks,Groceries,-105.74
2023-09-30,Food & Drinks,Groceries,-86.34
2023-10-07,Food & Drinks,Groceries,-20.0
2023-10-14,Food & Drinks,Groceries,-76.37
2023-10-28,Food & Drinks,Groceries,-82.46
2023-11-12,Food & Drinks,Groceries,-81.64
2023-11-25,Food & Drinks,Groceries,-97.59
2023-12-04,Food & Drinks,Restaurant,-45.67
2023-12-09,Food & Drinks,Groceries,-82.49
2023-12-23,Food & Drinks,Groceries,-111.63
