Date,Category,Sub-category,Amount
2023-01-01,Debt,NOCHARGE,0
2023-01-02,Debt,NOCHARGE,0
2023-01-03,Debt,NOCHARGE,0
2023-01-04,Debt,NOCHARGE,0
2023-01-05,Debt,NOCHARGE,0
2023-01-06,Debt,NOCHARGE,0
2023-01-07,Debt,NOCHARGE,0
2023-01-08,Debt,NOCHARGE,0
2023-01-09,Debt,NOCHARGE,0
2023-01-10,Debt,NOCHARGE,0
2023-01-11,Debt,NOCHARGE,0
2023-01-12,Debt,NOCHARGE,0
2023-01-13,Debt,NOCHARGE,0
2023-01-14,Debt,NOCHARGE,0
2023-01-15,Debt,NOCHARGE,0
2023-01-16,Debt,NOCHARGE,0
2023-01-17,Debt,NOCHARGE,0
2023-01-18,Debt,NOCHARGE,0
2023-01-19,Debt,NOCHARGE,0
2023-01-20,Debt,NOCHARGE,0
2023-01-21,Debt,NOCHARGE,0
2023-01-22,Debt,NOCHARGE,0
2023-01-23,Debt,NOCHARGE,0
2023-01-24,Debt,NOCHARGE,0
2023-01-25,Debt,NOCHARGE,0
2023-01-26,Debt,NOCHARGE,0
2023-01-27,Debt,NOCHARGE,0
2023-01-28,Debt,NOCHARGE,0
2023-01-29,Debt,NOCHARGE,0
2023-01-30,Debt,Payment,-362.32
2023-01-30,Debt,Payment,362.32
2023-01-31,Debt,Interest,-4.81
2023-02-01,Debt,NOCHARGE,0
2023-02-02,Debt,NOCHARGE,0
2023-02-03,Debt,NOCHARGE,0
2023-02-04,Debt,NOCHARGE,0
2023-02-05,Debt,NOCHARGE,0
2023-02-06,Debt,NOCHARGE,0
2023-02-07,Debt,NOCHARGE,0
2023-02-08,Debt,NOCHARGE,0
2023-02-09,Debt,NOCHARGE,0
2023-02-10,Debt,NOCHARGE,0
2023-02-11,Debt,NOCHARGE,0
2023-02-12,Debt,NOCHARGE,0
2023-02-13,Debt,NOCHARGE,0
2023-02-14,Debt,NOCHARGE,0
2023-02-15,Debt,NOCHARGE,0
2023-02-16,Debt,NOCHARGE,0
2023-02-17,Debt,Payment,-349.21
2023-02-17,Debt,Payment,349.21
2023-02-18,Debt,NOCHARGE,0
2023-02-19,Debt,NOCHARGE,0
2023-02-20,Debt,NOCHARGE,0
2023-02-21,Debt,NOCHARGE,0
2023-02-22,Debt,NOCHARGE,0
2023-02-23,Debt,NOCHARGE,0
2023-02-24,Debt,NOCHARGE,0
2023-02-25,Debt,NOCHARGE,0
2023-02-26,Debt,NOCHARGE,0
