Date,Category,Sub-category,Amount
2024-01-01,Food & Drinks,NOCHARGE,0
2024-01-02,Food & Drinks,NOCHARGE,0
2024-01-03,Food & Drinks,NOCHARGE,0
2024-01-04,Food & Drinks,NOCHARGE,0
2024-01-05,Food & Drinks,NOCHARGE,0
2024-01-06,Food & Drinks,NOCHARGE,0
2024-01-07,Food & Drinks,NOCHARGE,0
2024-01-08,Food & Drinks,Groceries,-114.95
2024-01-09,Food & Drinks,NOCHARGE,0
2024-01-10,Food & Drinks,NOCHARGE,0
2024-01-11,Food & Drinks,NOCHARGE,0
2024-01-12,Food & Drinks,NOCHARGE,0
2024-01-13,Food & Drinks,Restaurant,-50.25
2024-01-14,Food & Drinks,Restaurant,-100.25
2024-01-15,Food & Drinks,Restaurant,-85.25
2024-01-16,Food & Drinks,NOCHARGE,0
2024-01-17,Food & Drinks,NOCHARGE,0
2024-01-18,Food & Drinks,NOCHARGE,0
2024-01-19,Food & Drinks,NOCHARGE,0
2024-01-20,Food & Drinks,Groceries,-70.63
2024-01-21,Food & Drinks,Restaurant,-100.25
2024-01-22,Food & Drinks,Restaurant,-85.25
2024-01-23,Food & Drinks,NOCHARGE,0
2024-01-24,Food & Drinks,NOCHARGE,0
2024-01-25,Food & Drinks,NOCHARGE,0
2024-01-26,Food & Drinks,NOCHARGE,0
2024-01-27,Food & Drinks,Restaurant,-32.95
2024-01-28,Food & Drinks,NOCHARGE,0
2024-01-29,Food & Drinks,NOCHARGE,0
2024-01-30,Food & Drinks,NOCHARGE,0
2024-01-31,Food & Drinks,NOCHARGE,0
