Date,Category,Sub-category,Amount
2023-01-01,Income,NOCHARGE,0
2023-01-02,Income,NOCHARGE,0
2023-01-03,Income,NOCHARGE,0
2023-01-04,Income,NOCHARGE,0
2023-01-05,Income,NOCHARGE,0
2023-01-06,Income,Salary,509.08
2023-01-07,Income,NOCHARGE,0
2023-01-08,Income,NOCHARGE,0
2023-01-09,Income,NOCHARGE,0
2023-01-10,Income,NOCHARGE,0
2023-01-11,Income,NOCHARGE,0
2023-01-12,Income,NOCHARGE,0
2023-01-13,Income,NOCHARGE,0
2023-01-14,Income,NOCHARGE,0
2023-01-15,Income,NOCHARGE,0
2023-01-16,Income,NOCHARGE,0
2023-01-17,Income,NOCHARGE,0
2023-01-18,Income,NOCHARGE,0
2023-01-19,Income,NOCHARGE,0
2023-01-20,Income,Salary,708.96
2023-01-21,Income,NOCHARGE,0
2023-01-22,Income,NOCHARGE,0
2023-01-23,Income,NOCHARGE,0
2023-01-24,Income,NOCHARGE,0
2023-01-25,Income,NOCHARGE,0
2023-01-26,Income,NOCHARGE,0
2023-01-27,Income,NOCHARGE,0
2023-01-28,Income,NOCHARGE,0
2023-01-29,Income,NOCHARGE,0
2023-01-30,Income,NOCHARGE,0
2023-01-31,Income,NOCHARGE,0
2023-02-01,Income,NOCHARGE,0
2023-02-02,Income,NOCHARGE,0
2023-02-03,Income,Salary,640.82
2023-02-04,Income,NOCHARGE,0
2023-02-05,Income,NOCHARGE,0
2023-02-06,Income,NOCHARGE,0
2023-02-07,Income,NOCHARGE,0
2023-02-08,Income,NOCHARGE,0
2023-02-09,Income,NOCHARGE,0
2023-02-10,Income,NOCHARGE,0
2023-02-11,Income,NOCHARGE,0
2023-02-12,Income,NOCHARGE,0
2023-02-13,Income,NOCHARGE,0
2023-02-14,Income,NOCHARGE,0
2023-02-15,Income,NOCHARGE,0
2023-02-16,Income,NOCHARGE,0
2023-02-17,Income,Salary,334.84
2023-02-18,Income,NOCHARGE,0
2023-02-19,Income,NOCHARGE,0
2023-02-20,Income,NOCHARGE,0
2023-02-21,Income,NOCHARGE,0
2023-02-22,Income,NOCHARGE,0
2023-02-23,Income,NOCHARGE,0
2023-02-24,Income,NOCHARGE,0
2023-02-25,Income,NOCHARGE,0
2023-02-26,Income,NOCHARGE,0
2023-02-27,Income,NOCHARGE,0
2023-02-28,Income,NOCHARGE,0
2023-03-01,Income,NOCHARGE,0
2023-03-02,Income,NOCHARGE,0
2023-03-03,Income,Salary,340.94
2023-03-04,Income,NOCHARGE,0
2023-03-05,Income,NOCHARGE,0
2023-03-06,Income,NOCHARGE,0
2023-03-07,Income,NOCHARGE,0
2023-03-08,Income,NOCHARGE,0
2023-03-09,Income,NOCHARGE,0
2023-03-10,Income,NOCHARGE,0
2023-03-11,Income,NOCHARGE,0
2023-03-12,Income,NOCHARGE,0
