Date,Category,Sub-category,Amount,Account,Balance
2023-01-01,Food & Drinks,Drinks,-200.00,Credit,-200
2023-01-01,Food & Drinks,Take-out,-40.45,Credit,-240.45
2023-01-02,Housing,Rent,-650.00,Cash Hub,"2,850.00"
2023-01-02,Food & Drinks,Coffee,-5.74,Cash Hub,"2,844.26"
2023-01-02,Utilities,Phone,-58.04,Cash Hub,"2,786.22"
2023-01-03,Personal Care,Haircut,-30.00,Cash Hub,"2,756.22"
2023-01-05,Entertainment,Games,-51.74,Credit,-292.19
2023-01-06,Income,Salary,509.08,Cash Hub,"3,265.30"
2023-01-07,Food & Drinks,Groceries,-80.46,Cash Hub,"3,184.84"
2023-01-10,Food & Drinks,Restaurant,-50.28,Credit,-342.47
2023-01-12,Transportation,Gas,-35.00,Credit,-377.47
2023-01-14,Food & Drinks,Restaurant,-90.68,Credit,-468.15
2023-01-14,Food & Drinks,Coffee,-5.74,Cash Hub,"3,179.10"
2023-01-16,Entertainment,Games,-103.49,Credit,-571.64
2023-01-20,Income,Salary,708.96,Cash Hub,"3,888.06"
2023-01-20,Transportation,Insurance,-123.10,Cash Hub,"3,764.96"
2023-01-21,Food & Drinks,Groceries,-60.87,Cash Hub,"3,704.09"
2023-01-21,Entertainment,Subscription,-7.99,Cash Hub,"3,696.10"
2023-01-21,Food & Drinks,Coffee,-5.74,Cash Hub,"3,690.36"
2023-01-28,Food & Drinks,Restaurant,-74.30,Credit,-645.94
2023-01-28,Food & Drinks,Coffee,-6.95,Cash Hub,"3,683.41"
2023-01-30,Debt,Payment,-362.32,Cash Hub,"3,321.09"
2023-01-30,Debt,Payment,362.32,Credit,-283.62
2023-01-31,Debt,Interest,-4.81,Credit,-288.43
2023-02-01,Housing,Rent,-650.00,Cash Hub,"2,671.09"
2023-02-01,Utilities,Phone,-58.04,Cash Hub,"2,613.05"
2023-02-03,Income,Salary,640.82,Cash Hub,"3,253.87"
2023-02-04,Food & Drinks,Restaurant,-55.39,Credit,-343.82
2023-02-04,Food & Drinks,Groceries,-24.12,Cash Hub,"3,229.75"
2023-02-07,Personal,Haircut,-30.00,Cash Hub,"3,199.75"
2023-02-14,Food & Drinks,Restaurant,-55.39,Credit,-399.21
2023-02-17,Income,Salary,334.84,Cash Hub,"3,534.59"
2023-02-17,Debt,Payment,-349.21,Cash Hub,"3,185.38"
2023-02-17,Debt,Payment,349.21,Credit,-50.00
2023-02-18,Food & Drinks,Groceries,-90.77,Cash Hub,"3,094.61"
2023-02-19,Entertainment,Games,-67.26,Credit,-117.26
2023-02-20,Transportation,Insurance,-123.10,Cash Hub,"2,971.51"
2023-02-21,Entertainment,Subscription,-7.99,Cash Hub,"2,963.52"
2023-02-24,Entertainment,Games,-77.04,Credit,-194.30
2023-02-25,Food & Drinks,Restaurant,-42.33,Credit,-236.63
2023-02-28,Debt,Interest,-5.05,Credit,-241.68
2023-03-01,Housing,Rent,-650.00,Cash Hub,"2,313.52"
2023-03-01,Utilities,Phone,-58.04,Cash Hub,"2,255.48"
2023-03-03,Income,Salary,340.94,Cash Hub,"2,596.42"
2023-03-04,Food & Drinks,Groceries,-64.55,Cash Hub,"2,531.87"
2023-03-04,Food & Drinks,Coffee,-5.74,Cash Hub,"2,526.13"
2023-03-07,Personal,Haircut,-30.00,Cash Hub,"2,496.13"
2023-03-11,Food & Drinks,Drinks,-52.75,Credit,-294.43
2023-03-17,Income,Salary,262.44,Cash Hub,"2,758.57"
2023-03-17,Debt,Payment,-280.00,Cash Hub,"2,478.57"
2023-03-17,Debt,Payment,280.00,Credit,-14.43
2023-03-18,Food & Drinks,Groceries,-48.95,Cash Hub,"2,429.62"
2023-03-19,Food & Drinks,Coffee,-5.74,Cash Hub,"2,423.88"
2023-03-20,Transportation,Insurance,-123.10,Cash Hub,"2,300.78"
2023-03-20,Food & Drinks,Coffee,-5.74,Cash Hub,"2,295.04"
2023-03-21,Entertainment,Subscription,-7.99,Cash Hub,"2,287.05"
2023-03-21,Food & Drinks,Coffee,-5.74,Cash Hub,"2,281.31"
2023-03-22,Food & Drinks,Coffee,-5.74,Cash Hub,"2,275.57"
2023-03-23,Food & Drinks,Coffee,-5.74,Cash Hub,"2,269.83"
2023-03-24,Food & Drinks,Coffee,-5.74,Cash Hub,"2,264.09"
2023-03-25,Food & Drinks,Restaurant,-85.66,Credit,-100.09
2023-03-27,Food & Drinks,Coffee,-5.74,Cash Hub,"2,258.35"
2023-03-28,Food & Drinks,Coffee,-5.74,Cash Hub,"2,252.61"
2023-03-29,Food & Drinks,Coffee,-5.74,Cash Hub,"2,246.87"
2023-03-30,Food & Drinks,Coffee,-5.74,Cash Hub,"2,241.13"
2023-03-31,Income,Salary,290.34,Cash Hub,"2,531.47"
2023-03-31,Debt,Interest,-2.35,Credit,-102.44
2023-03-31,Food & Drinks,Coffee,-5.74,Cash Hub,"2,525.73"
2023-04-01,Food & Drinks,Groceries,-60.56,Cash Hub,"2,465.17"
2023-04-02,Food & Drinks,Coffee,-5.74,Cash Hub,"2,459.43"
2023-04-03,Housing,Rent,-650.00,Cash Hub,"1,809.43"
2023-04-03,Utilities,Phone,-58.04,Cash Hub,"1,751.39"
2023-04-03,Personal,Haircut,-30.00,Cash Hub,"1,721.39"
2023-04-04,Food & Drinks,Coffee,-5.74,Cash Hub,"1,715.65"
2023-04-05,Food & Drinks,Coffee,-5.74,Cash Hub,"1,709.91"
2023-04-06,Transportation,Gas,-40.00,Cash Hub,"1,669.91"
2023-04-06,Housing,Security Deposit,-393.75,Cash Hub,"1,276.16"
2023-04-06,Lifestyle,Gifts,-60.00,Credit,-162.44
2023-04-06,Food & Drinks,Candy,-25.99,Credit,-188.43
2023-04-06,Food & Drinks,Coffee,-5.74,Cash Hub,"1,270.42"
2023-04-08,Food & Drinks,Coffee,-5.74,Cash Hub,"1,264.68"
2023-04-08,Entertainment,Movies,-31.78,Credit,-220.21
2023-04-11,Food & Drinks,Coffee,-5.74,Cash Hub,"1,258.94"
2023-04-11,Food & Drinks,Candy,-8.69,Credit,-228.90
2023-04-11,Bank,Deposit,10000,Long Term,10000
2023-04-14,Income,Salary,505.70,Cash Hub,"1,764.64"
2023-04-15,Food & Drinks,Groceries,-80.77,Cash Hub,"1,683.87"
2023-04-16,Food & Drinks,Coffee,-5.74,Cash Hub,"1,678.13"
2023-04-17,Food & Drinks,Coffee,-5.74,Cash Hub,"1,672.39"
2023-04-18,Food & Drinks,Coffee,-5.74,Cash Hub,"1,666.65"
2023-04-18,Transportation,Maintenance,-90.33,Cash Hub,"1,576.32"
2023-04-20,Transportation,Insurance,-123.10,Cash Hub,"1,453.22"
2023-04-21,Entertainment,Subscription,-7.99,Cash Hub,"1,445.23"
2023-04-22,Entertainment,Subscription,-123.99,Cash Hub,"1,321.24"
2023-04-22,Entertainment,Games,-103.49,Credit,-332.39
2023-04-24,Debt,Payment,-122.29,Cash Hub,"1,198.95"
2023-04-24,Debt,Payment,122.29,Credit,-210.10
2023-04-28,Income,Salary,934.54,Cash Hub,"2,133.49"
2023-04-29,Food & Drinks,Groceries,-75.21,Cash Hub,"2,058.28"
2023-04-29,Food & Drinks,Coffee,-5.74,Cash Hub,"2,052.54"
2023-04-30,Debt,Interest,-3.78,Credit,-213.88
2023-04-30,Investment,Interest,8.39,Long Term,10008.39
2023-05-01,Utilities,Phone,-58.04,Cash Hub,"1,994.50"
2023-05-01,Debt,Payment,-600.00,Cash Hub,"1,394.50"
2023-05-01,Debt,Payment,600.00,Student Loan,"-59,400.00"
2023-05-09,Personal,Haircut,-30.00,Cash Hub,"1,364.50"
2023-05-12,Income,Salary,817.84,Cash Hub,"2,182.34"
2023-05-13,Food & Drinks,Groceries,-85.17,Cash Hub,"2,097.17"
2023-05-13,Entertainment,Comedy Show,-174.65,Credit,-388.53
2023-05-15,Lifestyle,Gifts,-25.68,Credit,-414.21
2023-05-20,Food & Drinks,Coffee,-5.74,Cash Hub,"2,091.43"
2023-05-21,Entertainment,Subscription,-7.99,Cash Hub,"2,083.44"
2023-05-21,Entertainment,Museum,-34.74,Credit,-448.95
2023-05-22,Transportation,Insurance,-123.10,Cash Hub,"1,960.34"
2023-05-23,Debt,Payment,-43.89,Cash Hub,"1,916.45"
2023-05-23,Debt,Payment,43.89,Credit,-405.06
2023-05-25,Transportation,Gas,-40.00,Cash Hub,"1,876.45"
2023-05-26,Income,Salary,"1,201.64",Cash Hub,"3,078.09"
2023-05-27,Food & Drinks,Groceries,-60.43,Cash Hub,"3,017.66"
2023-05-30,Lifestyle,Gifts,-65.00,Cash Hub,"2,952.66"
2023-05-31,Debt,Interest,-3.99,Credit,-409.05
2023-05-31,Investment,Interest,14.46,Long Term,10022.85
2023-06-01,Utilities,Phone,-58.04,Cash Hub,"2,894.62"
2023-06-01,Utilities,Internet,-35.00,Cash Hub,"2,859.62"
2023-06-01,Debt,Payment,-594.00,Cash Hub,"2,265.62"
2023-06-01,Debt,Payment,594.00,Student Loan,"-58,806.00"
2023-06-04,Food & Drinks,Restaurant,-54.56,Credit,-463.61
2023-06-08,Personal,Haircut,-37.00,Cash Hub,"2,228.62"
2023-06-09,Income,Salary,"1,115.04",Cash Hub,"3,343.66"
2023-06-10,Food & Drinks,Groceries,-65.00,Cash Hub,"3,278.66"
2023-06-10,Lifestyle,Clothes,-75.99,Credit,-539.60
2023-06-11,Debt,Payment,-300.00,Cash Hub,"2,978.66"
2023-06-11,Debt,Payment,300.00,Credit,-239.60
2023-06-20,Transportation,Insurance,-123.10,Cash Hub,"2,855.56"
2023-06-21,Entertainment,Subscription,-7.99,Cash Hub,"2,847.57"
2023-06-23,Income,Salary,"1,527.98",Cash Hub,"4,375.55"
2023-06-24,Food & Drinks,Groceries,-90.00,Cash Hub,"4,285.55"
2023-06-29,Lifestyle,Gifts,-25.00,Credit,-264.60
2023-06-29,Food & Drinks,Drinks,-38.99,Credit,-303.59
2023-06-30,Debt,Interest,-3.20,Credit,-306.78
2023-06-30,Investment,Interest,14.01,Long Term,10036.86
2023-07-02,Food & Drinks,Take-out,-45.00,Credit,-351.78
